ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
17639,0,105,17.899999618530273,13.899999618530273,5.570000171661377,12.5600004196167,-86.375,31.708333333333346
17640,0,491,4,12.300000190734863,4.860000133514404,12.640000343322754,-89.70833333333336,45.875
17641,0,59,26.200000762939453,12.300000190734863,5.989999771118164,12.59000015258789,-90.95833333333336,18.458333333333336
17642,0,291,7.5,11.899999618530273,19.670000076293945,11.149999618530273,-90.45833333333336,43.125
17643,0,108,-0.4000000059604645,12.199999809265137,0.9599999785423279,14.5600004196167,-83.875,51.04166666666669
17644,0,52,17,12.5,2.2699999809265137,13.170000076293945,-91.54166666666669,33.70833333333335
17645,0,184,12,12.399999618530273,8.109999656677246,12.829999923706055,-85.95833333333336,38.875
17646,0,2057,4.599999904632568,13.300000190734863,28.780000686645508,10.109999656677246,-103.79166666666669,43.875
17647,0,1895,10.899999618530273,17.299999237060547,14.069999694824219,11.489999771118164,-105.375,34.45833333333335
17648,0,211,8.600000381469727,10.800000190734863,5.760000228881836,13.699999809265137,-85.95833333333336,42.541666666666686
17649,0,1223,-5.199999809265137,12.5,51.470001220703125,9.109999656677246,-130.70833333333334,60.708333333333364
17650,0,399,8.199999809265137,13,2.9700000286102295,13.520000457763672,-97.95833333333336,43.625
17651,0,79,10.100000381469727,9.399999618530273,56.22999954223633,9.640000343322754,-123.95833333333334,45.20833333333336
17652,0,66,18.799999237060547,12.800000190734863,3.130000114440918,12.989999771118164,-93.29166666666669,30.875
17653,0,2959,11.300000190734863,15.300000190734863,61.83000183105469,8.039999961853027,-97.375,19.04166666666667
17654,0,1167,5.699999809265137,9.800000190734863,71.79000091552734,9.220000267028809,-121.79166666666669,45.20833333333336
17655,0,373,2.299999952316284,12,10.8100004196167,12.119999885559082,-92.875,48.70833333333336
17656,0,1816,6.800000190734863,16,32.33000183105469,9.8100004196167,-109.625,40.45833333333336
17657,0,162,-3.5999999046325684,11.5,2.0899999141693115,13.15999984741211,-117.04166666666669,61.0416666666667
17658,0,613,5.699999809265137,14.300000190734863,11.449999809265137,11.84000015258789,-103.875,47.95833333333336
17659,0,306,14,13.600000381469727,19.93000030517578,11.210000038146973,-84.2916666666667,35.45833333333335
17660,0,133,21.799999237060547,13.300000190734863,4.5,13.239999771118164,-98.375,27.708333333333343
17661,0,283,12.600000381469727,13.100000381469727,10.279999732971191,11.989999771118164,-91.625,38.125
17662,0,674,-2.5,11.399999618530273,42.779998779296875,9.420000076293945,-124.70833333333334,59.958333333333364
17663,0,59,-1.2000000476837158,11.699999809265137,0.550000011920929,14.720000267028809,-82.625,52.04166666666669
